iter	Passed	Remaining
0	0	33
1	0	32
2	0	31
3	1	29
4	1	29
5	1	29
6	2	28
7	2	28
8	2	27
9	3	28
10	3	27
11	3	27
12	4	27
13	4	26
14	4	26
15	4	26
16	5	25
17	5	25
18	5	25
19	6	24
20	6	24
21	6	24
22	7	24
23	7	24
24	8	24
25	8	23
26	8	23
27	9	23
28	9	22
29	9	22
30	9	22
31	10	21
32	10	21
33	11	21
34	11	21
35	11	21
36	12	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	14	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	16
48	16	16
49	16	16
50	16	16
51	17	16
52	17	15
53	18	15
54	18	15
55	18	14
56	19	14
57	19	14
58	19	13
59	20	13
60	20	13
61	21	13
62	21	12
63	22	12
64	22	12
65	22	11
66	23	11
67	23	11
68	23	10
69	24	10
70	24	9
71	24	9
72	24	9
73	25	8
74	25	8
75	25	8
76	26	7
77	26	7
78	26	7
79	27	6
80	27	6
81	28	6
82	28	5
83	28	5
84	29	5
85	29	4
86	29	4
87	30	4
88	30	3
89	30	3
90	31	3
91	31	2
92	31	2
93	32	2
94	32	1
95	32	1
96	33	1
97	33	0
98	33	0
99	34	0
