iter	Passed	Remaining
0	61	61684
1	62	31171
2	62	20919
3	63	15826
4	64	12740
5	64	10687
6	65	9235
7	65	8149
8	66	7289
9	66	6604
10	67	6045
11	67	5581
12	68	5181
13	68	4844
14	69	4551
15	69	4293
16	70	4063
17	70	3858
18	71	3674
19	71	3508
20	72	3356
21	72	3221
22	72	3097
23	73	2984
24	74	2886
25	75	2813
26	75	2736
27	76	2664
28	77	2597
29	78	2529
30	78	2464
31	79	2399
32	80	2344
33	80	2297
34	81	2250
35	82	2202
36	83	2162
37	83	2116
38	84	2071
39	84	2033
40	85	1992
41	85	1952
42	86	1915
43	86	1879
44	86	1844
45	87	1812
46	87	1781
47	88	1751
48	88	1723
49	89	1698
50	89	1672
51	90	1646
52	91	1627
53	91	1606
54	92	1592
55	94	1585
56	94	1568
57	95	1548
58	95	1528
59	96	1510
60	97	1493
61	97	1474
62	98	1457
63	98	1440
64	99	1424
65	99	1409
66	100	1404
67	102	1399
68	103	1400
69	104	1391
70	105	1380
71	106	1373
72	107	1364
73	108	1353
74	108	1341
75	109	1328
76	110	1321
77	111	1312
78	111	1301
79	112	1290
80	112	1279
81	113	1268
82	113	1254
83	114	1243
84	114	1232
85	114	1222
86	115	1211
87	115	1201
88	116	1191
89	116	1181
90	117	1172
91	117	1163
92	118	1153
93	118	1144
94	119	1135
95	119	1126
96	120	1117
97	120	1108
98	122	1110
99	122	1102
100	122	1094
101	123	1087
102	124	1080
103	124	1073
104	125	1067
105	125	1062
106	126	1056
107	127	1051
108	127	1045
109	128	1038
110	128	1031
111	129	1025
112	129	1018
113	130	1011
114	130	1005
115	131	999
116	131	993
117	132	988
118	132	982
119	133	977
120	133	973
121	134	967
122	135	963
123	135	957
124	136	955
125	136	949
126	137	945
127	138	940
128	138	935
129	138	929
130	139	927
131	140	923
132	141	919
133	141	915
134	142	911
135	142	906
136	143	905
137	144	903
138	145	900
139	145	896
140	146	894
141	147	889
142	147	885
143	148	881
144	148	878
145	149	876
146	150	873
147	151	869
148	151	866
149	152	862
150	152	858
151	153	854
152	153	851
153	154	848
154	154	844
155	155	841
156	156	838
157	156	835
158	157	831
159	157	828
160	158	823
161	158	820
162	159	817
163	159	815
164	160	811
165	161	809
166	161	806
167	162	803
168	162	800
169	163	797
170	164	795
171	164	793
172	165	790
173	166	791
174	167	788
175	167	785
176	168	782
177	169	781
178	169	778
179	170	775
180	170	772
181	171	770
182	172	768
183	172	766
184	173	763
185	173	760
186	174	758
187	174	755
188	175	752
189	175	750
190	176	747
191	176	744
192	177	742
193	178	740
194	178	738
195	179	735
196	179	733
197	180	731
198	181	729
199	181	727
200	182	725
201	183	723
202	183	722
203	184	720
204	185	718
205	185	716
206	186	714
207	187	713
208	188	712
209	188	710
210	189	708
211	189	705
212	190	703
213	190	701
214	191	699
215	192	697
216	193	697
217	194	696
218	195	695
219	195	694
220	196	692
221	197	691
222	197	689
223	198	688
224	199	686
225	199	684
226	200	682
227	200	679
228	201	677
229	201	675
230	202	675
231	203	673
232	203	671
233	204	669
234	205	668
235	205	666
236	206	664
237	207	662
238	207	661
239	208	659
240	208	657
241	209	655
242	210	654
243	210	652
244	211	651
245	211	649
246	212	648
247	213	646
248	213	644
249	214	643
250	215	641
251	215	639
252	216	638
253	216	636
254	217	634
255	217	633
256	218	631
257	219	629
258	219	628
259	220	626
260	220	624
261	221	622
262	221	621
263	222	619
264	222	618
265	223	617
266	224	616
267	225	614
268	225	613
269	226	611
270	226	609
271	227	608
272	227	606
273	228	604
274	228	603
275	229	601
276	229	599
277	230	598
278	230	596
279	231	594
280	231	593
281	232	591
282	232	589
283	233	588
284	233	586
285	234	585
286	234	583
287	235	581
288	235	580
289	236	578
290	236	576
291	237	575
292	237	573
293	238	572
294	238	570
295	239	568
296	239	567
297	240	565
298	240	563
299	240	562
300	241	560
301	241	559
302	242	557
303	242	556
304	243	554
305	243	553
306	244	551
307	244	549
308	245	548
309	245	546
310	245	544
311	246	543
312	246	541
313	247	540
314	247	538
315	248	537
316	248	536
317	249	534
318	249	533
319	250	531
320	250	530
321	251	528
322	251	527
323	252	526
324	252	524
325	253	523
326	253	522
327	254	520
328	254	519
329	254	517
330	255	516
331	255	514
332	256	513
333	256	512
334	257	510
335	257	509
336	258	508
337	258	506
338	259	505
339	259	504
340	260	503
341	260	501
342	261	500
343	261	499
344	262	498
345	262	496
346	263	495
347	263	494
348	264	493
349	264	491
350	265	490
351	265	489
352	266	488
353	267	487
354	267	486
355	268	485
356	268	484
357	269	482
358	269	481
359	270	480
360	270	479
361	271	478
362	271	476
363	272	475
